id,event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,status,authenticated,description,veh_type,corridor,priority,police_station,gba_identifier,zone,junction
FKID002206,unplanned,12.9129912,77.5667494,"ORR West 1, K.S. Layout Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 05:06:37.142+00,closed,yes,person location layout jn center gas lorry offroad,heavy_vehicle,ORR West 1,High,K.S. Layout,NULL,NULL,NULL
FKID002207,unplanned,13.021709,77.5519174,"Tumkur Road, Yeshwanthpura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 06:05:44.21+00,closed,yes,botle neck towards incoming near goverdhan vehicle punture agide,lcv,Tumkur Road,High,Yeshwanthpura,NULL,NULL,NULL
FKID002208,unplanned,13.0491879,77.4962055,"Chikkabanavara Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 05:33:33.288+00,closed,yes,location metro station towards city main track ksrtc bus off road traffic one side movement,ksrtc_bus,Non-corridor,Low,Chikkabanavara,NULL,NULL,NULL
FKID002209,unplanned,12.9255742,77.6174592,"Hosur Road, Madiwala Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 05:11:39.99+00,closed,yes,sp road to ayyappa vehicle breckdown agiruttde traffic slow movement eruttade,ksrtc_bus,Hosur Road,High,Madiwala,NULL,NULL,NULL
FKID002210,unplanned,12.9844596,77.6412874,"Old Madras Road, Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 04:53:58.067+00,closed,yes,engine starting problem,others,Old Madras Road,High,Jeevanbheemanagar,NULL,NULL,NULL
FKID002211,unplanned,12.8972718,77.5999018,"Bannerghata Road, J.P. Nagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 01:45:51.095+00,closed,yes,infrontof iimb pvt bus off road due to air pipe got broken have left side problem to traffic from location to hsbc junction,private_bus,Bannerghata Road,High,J.P. Nagar,NULL,NULL,NULL
FKID002212,planned,12.9019622,77.6011975,"Bannerghata Road, Mico Layout Jurisdiction, Bengaluru, Karnataka, India",procession,FALSE,2024-02-29 05:01:08.628+00,closed,yes,bilekahalli junction towards hsbc,,Bannerghata Road,High,Mico Layout,NULL,NULL,NULL
FKID002213,unplanned,12.95566159,77.72065301,"Varthur Road, Whitefield Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 05:29:36.525+00,closed,yes,bmtc bus breakdown at location towards location,bmtc_bus,Varthur Road,High,Whitefield,NULL,NULL,NULL
FKID002214,unplanned,13.0445101,77.5828738,"ORR North 2, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",congestion,FALSE,2024-02-29 04:17:36.959+00,closed,no,kride work at orr road hebbal circle to bhadrappa layout traffic slow moving,,ORR North 2,High,Kodigehalli,NULL,NULL,NULL
FKID002215,unplanned,13.04144,77.6222532,"Hennur Main Road, Hennuru Jurisdiction, Bengaluru, Karnataka, India",congestion,FALSE,2024-02-29 04:43:39.706+00,closed,no,towards keb junction slow movement due to location work,,Hennur Main Road,High,Hennuru,NULL,NULL,NULL
FKID002216,unplanned,12.9736801,77.6109701,"Old Madras Road, Ashok Nagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 06:10:17.674+00,closed,yes,vehile breakddon,lcv,Old Madras Road,High,Ashok Nagar,NULL,NULL,NULL
FKID002217,unplanned,12.9669106,77.5680574,"Chamarajpet Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 06:24:23.773+00,closed,yes,side alli ide traffic samasse illa,bmtc_bus,Non-corridor,Low,Chamarajpet,NULL,NULL,NULL
FKID002218,unplanned,13.0020899,77.5839781,"Bellary Road 1, Sadashivanagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 06:11:12.765+00,closed,yes,vehicle breakdown along Bellary Road 1 corridor and under Sadashivanagar jurisdiction,bmtc_bus,Bellary Road 1,High,Sadashivanagar,NULL,NULL,NULL
FKID002219,unplanned,12.8862945,77.6409252,"Hosur Road, Hulimavu Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 06:02:52.473+00,closed,yes,pvt bus offroad due to technical problem,private_bus,Hosur Road,High,Hulimavu,NULL,NULL,NULL
FKID002220,unplanned,12.9225247,77.6194594,"Hosur Road, Madiwala Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 05:35:54.578+00,closed,no,bus traffic slow towards,bmtc_bus,Hosur Road,High,Madiwala,NULL,NULL,NULL
FKID002221,unplanned,12.92108,77.5734531,"Banashankari Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 06:25:19.712+00,closed,no,traffic movieing normal,bmtc_bus,Non-corridor,Low,Banashankari,NULL,NULL,NULL
FKID002222,unplanned,13.0141472,77.5704446,"Sadashivanagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 07:31:41.472+00,closed,yes,k08 towards sadashiva nagar ps middle traffic movement slow ide,bmtc_bus,Non-corridor,Low,Sadashivanagar,NULL,NULL,NULL
FKID002223,unplanned,13.0288605,77.54001,"Tumkur Road, Yeshwanthpura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 10:41:29.927+00,closed,yes,starting problem,heavy_vehicle,Tumkur Road,High,Yeshwanthpura,NULL,NULL,NULL
FKID002224,planned,12.91427815,77.61741195,"Mico Layout Jurisdiction, Bengaluru, Karnataka, India",construction,TRUE,2024-02-23 23:57:56.728+00,closed,yes,bridge work under prograss,NULL,Non-corridor,Low,Mico Layout,NULL,NULL,NULL
FKID002225,planned,12.9567539,77.7013119,"Varthur Road, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",construction,TRUE,2024-03-19 11:38:52.247+00,closed,yes,work metro road closed,,Varthur Road,High,HAL Old Airport,NULL,NULL,NULL
FKID002226,unplanned,12.9575137,77.5522652,"Mysore Road, Chamarajpet Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 19:23:09.958+00,closed,yes,vehicle breakdown along Mysore Road corridor and under Chamarajpet jurisdiction,heavy_vehicle,Mysore Road,High,Chamarajpet,NULL,NULL,NULL
FKID002227,unplanned,13.147734,77.6187076,"Bellary Road 2, Chikkajala Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 08:22:56.451+00,closed,no,breakdown,others,Bellary Road 2,High,Chikkajala,NULL,NULL,NULL
FKID002228,unplanned,12.9877075,77.5502777,"West of Chord Road, Rajajinagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 07:33:53.322+00,closed,yes,break down,ksrtc_bus,West of Chord Road,High,Rajajinagar,NULL,NULL,NULL
FKID002229,unplanned,12.929445,77.5628717,"Banashankari Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 06:42:03.785+00,closed,yes,vehicle breakdown due to joint problem traffic normal,heavy_vehicle,Non-corridor,Low,Banashankari,NULL,NULL,NULL
FKID002230,unplanned,12.9541423,77.5436141,"Mysore Road, Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 09:15:54.118+00,closed,yes,whell lock,ksrtc_bus,Mysore Road,High,Byatarayanapura,NULL,NULL,NULL
FKID002231,unplanned,12.9707357,77.6198667,"Old Madras Road, Halasur Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 06:54:08.031+00,closed,yes,asc towards trinity circle,bmtc_bus,Old Madras Road,High,Halasur,NULL,NULL,NULL
FKID002232,unplanned,12.9480623,77.5985345,"Wilson Garden Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 08:10:07.76+00,closed,yes,join cut slow moving traffic,bmtc_bus,Non-corridor,Low,Wilson Garden,NULL,NULL,NULL
FKID002233,unplanned,12.9520172,77.544036,"Mysore Road, Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-02-29 09:49:21.711+00,closed,yes,tamil nad bus stand people cruwd traffic slow movement,,Mysore Road,High,Byatarayanapura,NULL,NULL,NULL
FKID002234,unplanned,12.9216369,77.6214779,"Hosur Road, Madiwala Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 07:58:29.871+00,closed,yes,bus offroad towards mps,bmtc_bus,Hosur Road,High,Madiwala,NULL,NULL,NULL
FKID002235,unplanned,13.01898142,77.65531138,"ORR North 1, Banaswadi Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 19:42:05.882+00,closed,yes,lorry engine fan belt cut,heavy_vehicle,ORR North 1,High,Banaswadi,NULL,NULL,NULL
FKID002236,unplanned,13.0360276,77.5892476,"Bellary Road 1, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 19:25:44.802+00,closed,yes,vehicle break down traffic problem,private_bus,Bellary Road 1,High,Kodigehalli,NULL,NULL,NULL
FKID002237,unplanned,13.0438244,77.55628,"ORR North 2, Jalahalli Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 20:04:18.568+00,closed,yes,due to battery problem vehicles off road at location underpass towards gg palya road,lcv,ORR North 2,High,Jalahalli,NULL,NULL,NULL
FKID002238,unplanned,13.0289783,77.540115,"Tumkur Road, Yeshwanthpura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 10:36:49.731+00,closed,no,vehicle breakdown along Tumkur Road corridor and under Yeshwanthpura jurisdiction,heavy_vehicle,Tumkur Road,High,Yeshwanthpura,NULL,NULL,NULL
FKID002239,unplanned,13.1198,77.576805,"Yelahanka Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-02-29 20:33:23.863+00,closed,yes,person dodda ballapura main road to wards location bbmp water work,,Non-corridor,Low,Yelahanka,NULL,NULL,NULL
FKID002240,unplanned,13.2572966,77.7126622,"Devanahalli Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 19:36:21.229+00,resolved,yes,vehicle breakdown along Non-corridor corridor and under Devanahalli Airport jurisdiction,heavy_vehicle,Non-corridor,Low,Devanahalli Airport,NULL,NULL,NULL
FKID002241,unplanned,13.0251258,77.5852107,"Bellary Road 1, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",accident,FALSE,2024-02-29 20:08:23.924+00,closed,yes,NULL,,Bellary Road 1,High,Kodigehalli,NULL,NULL,NULL
FKID002242,unplanned,13.003189,77.680613,"ORR East 2, K.R. Pura Jurisdiction, Bengaluru, Karnataka, India",accident,FALSE,2024-02-29 18:56:27.972+00,closed,yes,vehicle accident person,,ORR East 2,High,K.R. Pura,NULL,NULL,NULL
FKID002243,unplanned,12.9316347,77.6889171,"ORR East 1, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 18:15:26.201+00,closed,yes,location towards kadubeesanahalli main rd location station off road,truck,ORR East 1,High,HAL Old Airport,NULL,NULL,NULL
FKID002244,unplanned,12.9255403,77.6175176,"Hosur Road, Madiwala Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 20:00:06.346+00,closed,no,traffic slow location to ayyappa,others,Hosur Road,High,Madiwala,NULL,NULL,NULL
FKID002245,planned,12.9695804,77.7005848,"ORR East 2, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",construction,FALSE,2024-03-19 20:23:29.595+00,closed,yes,karthiknagara towards location and karthiknagara towards marathahalli traffic movement will be slow due to location station pillar work,,ORR East 2,High,HAL Old Airport,NULL,NULL,NULL
FKID002246,unplanned,12.9803302,77.5719733,"Sheshadripuram Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-19 21:10:19.68+00,active,yes,lorry vehicle,,Non-corridor,Low,Sheshadripuram,NULL,NULL,NULL
FKID002247,unplanned,12.9812197,77.5704953,"Sheshadripuram Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 18:55:11.913+00,closed,yes,vehicle breakdown along Non-corridor corridor and under Sheshadripuram jurisdiction,heavy_vehicle,Non-corridor,Low,Sheshadripuram,NULL,NULL,NULL
FKID002248,unplanned,12.981241,77.5705792,"Sheshadripuram Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 18:50:38.514+00,closed,yes,one side vehicle movement,heavy_vehicle,Non-corridor,Low,Sheshadripuram,NULL,NULL,NULL
FKID002249,unplanned,12.9826166,77.569553,"Sheshadripuram Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 20:50:26.978+00,closed,yes,vacum problem,ksrtc_bus,Non-corridor,Low,Sheshadripuram,NULL,NULL,NULL
FKID002250,unplanned,12.9047523,77.5857161,"ORR West 1, J.P. Nagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 20:14:38.693+00,closed,yes,bus traffic slow road junction,private_bus,ORR West 1,High,J.P. Nagar,NULL,NULL,NULL
FKID002251,unplanned,12.9765795,77.611037,"Old Madras Road, Shivajinagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 20:45:21.394+00,closed,no,bus puncture,bmtc_bus,Old Madras Road,High,Shivajinagar,NULL,NULL,NULL
FKID002252,unplanned,12.9823051,77.5644614,"Sheshadripuram Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 19:10:57.557+00,closed,yes,bus traffic pf,ksrtc_bus,Non-corridor,Low,Sheshadripuram,NULL,NULL,NULL
FKID002253,unplanned,12.9822785,77.5644264,"Magadi Road Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 19:07:50.011+00,closed,yes,bus traffic pf,ksrtc_bus,Non-corridor,Low,Magadi Road,NULL,NULL,NULL
FKID002254,planned,13.0162183,77.7092396,"K.R. Pura Jurisdiction, Bengaluru, Karnataka, India",procession,TRUE,2024-03-19 21:57:13.19+00,closed,yes,person,,Non-corridor,Low,K.R. Pura,NULL,NULL,NULL
FKID002255,unplanned,12.9830361,77.5972224,"CBD 2, Shivajinagar Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-02-29 23:18:06.273+00,closed,yes,test,,CBD 2,High,Shivajinagar,NULL,NULL,NULL
FKID002256,unplanned,12.9982796,77.6718061,"Banaswadi Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 19:35:18.059+00,closed,yes,petrol tank vehicle break down towards k r pura,others,Non-corridor,Low,Banaswadi,NULL,NULL,NULL
FKID002257,unplanned,13.1037653,77.6013994,"Bellary Road 2, Yelahanka Jurisdiction, Bengaluru, Karnataka, India",road_conditions,FALSE,2024-03-01 00:23:58.053+00,closed,yes,near 100 miters road graval road kogilu main road towards kogilu signal road traffic slow moving movement irutte,,Bellary Road 2,High,Yelahanka,NULL,NULL,NULL
FKID002258,unplanned,12.9681289,77.7017436,"ORR East 2, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-19 22:28:57.458+00,active,yes,person to kalamandir kadege main roadnalli e vehicle upload aagide,,ORR East 2,High,HAL Old Airport,NULL,NULL,NULL
FKID002259,unplanned,12.9275467,77.621335,"IRR(Thanisandra road), Adugodi Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-03-19 22:12:57.746+00,active,yes,pot holes along IRR(Thanisandra road) corridor and under Adugodi jurisdiction,,IRR(Thanisandra road),High,Adugodi,NULL,NULL,NULL
FKID002260,unplanned,12.9981229,77.552898,"West of Chord Road, Rajajinagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 20:04:19.009+00,closed,yes,engine breakdown,private_bus,West of Chord Road,High,Rajajinagar,NULL,NULL,NULL
FKID002261,unplanned,12.9389553,77.6945893,"ORR East 1, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 22:37:55.794+00,closed,yes,bmtc bus uploaded kadubeesanahalli towards location main road traffic slow movement,bmtc_bus,ORR East 1,High,HAL Old Airport,NULL,NULL,NULL
FKID002262,unplanned,12.95438293,77.54231192,"Mysore Road, Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 21:12:34.75+00,closed,yes,battery probl,private_car,Mysore Road,High,Byatarayanapura,NULL,NULL,NULL
FKID002263,unplanned,12.9720969,77.5867421,"Halasuru Gate Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-19 22:42:33.717+00,closed,yes,slow movement,,Non-corridor,Low,Halasuru Gate,NULL,NULL,NULL
FKID002264,unplanned,12.9383509,77.6945235,"ORR East 1, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 22:46:18.266+00,closed,yes,due to starting problem,bmtc_bus,ORR East 1,High,HAL Old Airport,NULL,NULL,NULL
FKID002265,unplanned,12.9758911,77.5644235,"Magadi Road, Magadi Road Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 20:23:31.173+00,closed,yes,due to puncture,bmtc_bus,Magadi Road,High,Magadi Road,NULL,NULL,NULL
FKID002266,unplanned,12.9126457,77.6255959,"Hosur Road, HSR Layout Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-02-29 23:18:34.704+00,closed,yes,electric bmtc bus offroaded near roopen location main road bus stop towards bommanahalli traffic movement slow ide,bmtc_bus,Hosur Road,High,HSR Layout,NULL,NULL,NULL
FKID002267,unplanned,12.9887505,77.4724214,"Kamakshipalya Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 00:47:32.516+00,closed,yes,vehicle break down,bmtc_bus,Non-corridor,Low,Kamakshipalya,NULL,NULL,NULL
FKID002268,unplanned,13.0438281,77.5540167,"ORR North 2, Jalahalli Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 00:16:09.205+00,closed,yes,due to engine problem it s off road near bel u turn bus stop towards muttyalam,bmtc_bus,ORR North 2,High,Jalahalli,NULL,NULL,NULL
FKID002269,unplanned,12.9377625,77.5850333,"Wilson Garden Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 20:39:04.078+00,closed,yes,vehicle breakdown along Non-corridor corridor and under Wilson Garden jurisdiction,bmtc_bus,Non-corridor,Low,Wilson Garden,NULL,NULL,NULL
FKID002270,unplanned,12.8399445,77.6769171,"Electronic City Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 23:34:02.261+00,closed,yes,vehicle signal nintid,bmtc_bus,Non-corridor,Low,Electronic City,NULL,NULL,NULL
FKID002271,unplanned,13.15527,77.6224983,"Bellary Road 2, Chikkajala Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 01:23:18.715+00,closed,yes,vehicle breakdown along Bellary Road 2 corridor and under Chikkajala jurisdiction,heavy_vehicle,Bellary Road 2,High,Chikkajala,NULL,NULL,NULL
FKID002272,unplanned,13.032588,77.5334587,"Tumkur Road, Yeshwanthpura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 03:17:29.467+00,closed,yes,starting problem under location station towards cmti junction traffic problem,lcv,Tumkur Road,High,Yeshwanthpura,NULL,NULL,NULL
FKID002273,unplanned,12.935682,77.5127897,"Mysore Road, Jnanabharathi Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 00:11:23.179+00,closed,yes,traffic slow movement,lcv,Mysore Road,High,Jnanabharathi,NULL,NULL,NULL
FKID002274,unplanned,12.9695483,77.7531717,"Whitefield Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 01:09:01.514+00,closed,yes,engine problem,private_car,Non-corridor,Low,Whitefield,NULL,NULL,NULL
FKID002275,unplanned,12.9207023,77.5802074,"Jayanagara Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-03-20 00:32:28.601+00,active,yes,vehicle metro traffic accident road closed person pothole,,Non-corridor,Low,Jayanagara,NULL,NULL,NULL
FKID002276,unplanned,12.9684836,77.5874438,"Mysore Road, Halasuru Gate Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-20 01:35:40.418+00,closed,yes,vehicle breakdown along Mysore Road corridor and under Halasuru Gate jurisdiction,bmtc_bus,Mysore Road,High,Halasuru Gate,NULL,NULL,NULL
FKID002277,unplanned,12.9971793,77.5957187,"R.T. Nagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-19 23:43:55.011+00,closed,yes,vehicle breakdown along Non-corridor corridor and under R.T. Nagar jurisdiction,bmtc_bus,Non-corridor,Low,R.T. Nagar,NULL,NULL,NULL
FKID002278,unplanned,12.9648556,77.5860566,"Mysore Road, Halasuru Gate Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-20 01:05:02.073+00,closed,no,battery down,lcv,Mysore Road,High,Halasuru Gate,NULL,NULL,NULL
FKID002279,unplanned,12.997643,77.5695705,"Malleshwaram Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 01:30:13.006+00,closed,yes,malleswaram towards majestic location bus off road one side traffic movement problem,bmtc_bus,Non-corridor,Low,Malleshwaram,NULL,NULL,NULL
FKID002280,unplanned,12.9227833,77.6003476,"Bannerghata Road, Mico Layout Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 01:15:14.948+00,closed,no,bannerghatta road person to location traffic movement problem,heavy_vehicle,Bannerghata Road,High,Mico Layout,NULL,NULL,NULL
FKID002281,unplanned,12.9209907,77.6663196,"ORR East 1, Bellandur Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-20 02:46:51.861+00,closed,yes,ibbluru flyover offload to agar traffic slow moving,heavy_vehicle,ORR East 1,High,Bellandur,NULL,NULL,NULL
FKID002282,unplanned,13.0561108,77.632872,"Hennur Main Road, Hennuru Jurisdiction, Bengaluru, Karnataka, India",procession,FALSE,2024-03-20 01:04:05.107+00,closed,yes,car slow road junction,,Hennur Main Road,High,Hennuru,NULL,NULL,NULL
FKID002283,unplanned,12.916946,77.5871065,"Jayanagara Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 04:12:54.795+00,closed,no,ragigudda to arvinda bus offload traffic slow movement,bmtc_bus,Non-corridor,Low,Jayanagara,NULL,NULL,NULL
FKID002284,unplanned,12.9559471,77.7290451,"Varthur Road, Whitefield Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-01 05:23:06.968+00,closed,yes,fair accident near location siddhapur,,Varthur Road,High,Whitefield,NULL,NULL,NULL
FKID002285,unplanned,13.0622879,77.6333968,"Hennur Main Road, Hennuru Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 05:33:45.481+00,closed,yes,vehicle breakdown along Hennur Main Road corridor and under Hennuru jurisdiction,heavy_vehicle,Hennur Main Road,High,Hennuru,NULL,NULL,NULL
FKID002286,unplanned,12.9250715,77.6375839,"Adugodi Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-20 03:59:55.101+00,closed,yes,free fell down at jacksontra near shell petrol bunk,,Non-corridor,Low,Adugodi,NULL,NULL,NULL
FKID002287,unplanned,12.9879187,77.5741471,"Sheshadripuram Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 07:56:56.576+00,closed,yes,kino junction to location bus offroad,bmtc_bus,Non-corridor,Low,Sheshadripuram,NULL,NULL,NULL
FKID002288,unplanned,13.0410972,77.6169798,"ORR North 1, Hennuru Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 06:16:48.51+00,closed,yes,bmtc 12th depo wakum problem at veerannapalya down ramp towards location junction,bmtc_bus,ORR North 1,High,Hennuru,NULL,NULL,NULL
FKID002289,unplanned,13.0041989,77.6629544,"ORR North 1, Banaswadi Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-01 08:16:59.63+00,active,yes,ingein problem,,ORR North 1,High,Banaswadi,NULL,NULL,NULL
FKID002290,unplanned,13.0413173,77.6214906,"Hennur Main Road, Hennuru Jurisdiction, Bengaluru, Karnataka, India",congestion,FALSE,2024-03-01 04:48:19.698+00,closed,no,towards keb junction slow movement due to location work,,Hennur Main Road,High,Hennuru,NULL,NULL,NULL
FKID002291,unplanned,13.0469513,77.5010307,"Peenya Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 07:55:45.336+00,closed,no,lgv vehicle offroad at h cross on flyover towards location due to diesel empty vehicle movement normal,lcv,Non-corridor,Low,Peenya,NULL,NULL,NULL
FKID002292,unplanned,12.9896925,77.5019422,"Magadi Road, Kamakshipalya Jurisdiction, Bengaluru, Karnataka, India",procession,FALSE,2024-03-01 06:13:21.301+00,closed,yes,sunkadakatte at magadi main road towards herohalli cross,,Magadi Road,High,Kamakshipalya,NULL,NULL,NULL
FKID002293,unplanned,12.9775143,77.608447,"Old Madras Road, Shivajinagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 09:08:00.337+00,closed,no,car of road distance to location starting problem car right side parking traffics movement,private_car,Old Madras Road,High,Shivajinagar,NULL,NULL,NULL
FKID002294,unplanned,13.08313,77.5938833,"Bellary Road 2, Yelahanka Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 10:27:14.292+00,closed,yes,car offroad bypass on flyover towards city,private_car,Bellary Road 2,High,Yelahanka,NULL,NULL,NULL
FKID002295,unplanned,12.96044159,77.64359885,"Old Airport Road, Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,TRUE,2024-03-01 12:54:44.007+00,closed,no,vehicle damege,others,Old Airport Road,High,Jeevanbheemanagar,NULL,NULL,NULL
FKID002296,unplanned,13.044388,77.5830485,"ORR North 2, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",congestion,FALSE,2024-03-01 04:37:13.665+00,closed,no,kride work at location to bhadrappa layout traffic slow moving,,ORR North 2,High,Kodigehalli,NULL,NULL,NULL
FKID002297,unplanned,13.0166922,77.6606649,"ORR North 1, Banaswadi Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-01 04:55:31.75+00,closed,yes,lorry off load engine oil leakage at royal oak opposite ring road towards horamavu junction,heavy_vehicle,ORR North 1,High,Banaswadi,NULL,NULL,NULL
FKID002298,unplanned,12.96035278,77.64401022,"Old Airport Road, Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",accident,FALSE,2024-03-01 13:00:53.663+00,closed,no,falon tree,,Old Airport Road,High,Jeevanbheemanagar,NULL,NULL,NULL
FKID002299,unplanned,13.0445894,77.582909,"ORR North 2, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",congestion,FALSE,2024-03-20 04:39:38.267+00,closed,no,kride work at location to bhadrappa layout traffic slow moving,,ORR North 2,High,Kodigehalli,NULL,NULL,NULL
